Training Log for rl_finetuned
==================================================
Epoch 113 | Loss: -0.19 | Avg Makespan: 89.8 | Best: 82.0 | Baseline: 118.6 | LR: 9.920848e-06
Epoch 114 | Loss: -0.12 | Avg Makespan: 94.8 | Best: 91.0 | Baseline: 118.5 | LR: 9.919457e-06
Epoch 115 | Loss: -0.17 | Avg Makespan: 84.5 | Best: 75.0 | Baseline: 118.4 | LR: 9.918054e-06
Epoch 116 | Loss: -0.66 | Avg Makespan: 96.5 | Best: 87.0 | Baseline: 118.7 | LR: 9.916639e-06
Epoch 117 | Loss: 0.25 | Avg Makespan: 88.8 | Best: 76.0 | Baseline: 118.3 | LR: 9.915212e-06
Epoch 118 | Loss: 0.01 | Avg Makespan: 90.8 | Best: 86.0 | Baseline: 118.0 | LR: 9.913773e-06
Epoch 119 | Loss: -0.03 | Avg Makespan: 90.8 | Best: 81.0 | Baseline: 117.8 | LR: 9.912322e-06
Epoch 120 | Loss: -0.29 | Avg Makespan: 93.0 | Best: 83.0 | Baseline: 118.0 | LR: 9.910859e-06
Epoch 121 | Loss: -0.14 | Avg Makespan: 91.0 | Best: 78.0 | Baseline: 117.8 | LR: 9.909384e-06
Epoch 122 | Loss: -0.21 | Avg Makespan: 94.5 | Best: 90.0 | Baseline: 117.9 | LR: 9.907897e-06
Epoch 123 | Loss: -0.41 | Avg Makespan: 92.0 | Best: 85.0 | Baseline: 118.1 | LR: 9.906398e-06
Epoch 124 | Loss: -0.68 | Avg Makespan: 96.5 | Best: 93.0 | Baseline: 118.6 | LR: 9.904887e-06
Epoch 125 | Loss: -0.67 | Avg Makespan: 94.0 | Best: 87.0 | Baseline: 119.1 | LR: 9.903364e-06
Epoch 126 | Loss: -0.28 | Avg Makespan: 89.0 | Best: 83.0 | Baseline: 119.2 | LR: 9.901829e-06
Epoch 127 | Loss: 0.26 | Avg Makespan: 94.2 | Best: 91.0 | Baseline: 118.8 | LR: 9.900283e-06
Epoch 128 | Loss: 0.16 | Avg Makespan: 88.8 | Best: 84.0 | Baseline: 118.5 | LR: 9.898724e-06
Epoch 129 | Loss: -0.17 | Avg Makespan: 93.8 | Best: 87.0 | Baseline: 118.6 | LR: 9.897153e-06
Epoch 130 | Loss: -0.47 | Avg Makespan: 97.5 | Best: 86.0 | Baseline: 118.8 | LR: 9.895570e-06
Epoch 131 | Loss: -0.54 | Avg Makespan: 93.0 | Best: 83.0 | Baseline: 119.2 | LR: 9.893975e-06
Epoch 132 | Loss: -1.09 | Avg Makespan: 103.0 | Best: 93.0 | Baseline: 120.0 | LR: 9.892369e-06
Epoch 133 | Loss: -0.71 | Avg Makespan: 92.8 | Best: 83.0 | Baseline: 120.6 | LR: 9.890750e-06
Epoch 134 | Loss: -0.38 | Avg Makespan: 93.2 | Best: 82.0 | Baseline: 120.8 | LR: 9.889120e-06
Epoch 135 | Loss: -0.90 | Avg Makespan: 101.2 | Best: 97.0 | Baseline: 121.5 | LR: 9.887477e-06
Epoch 136 | Loss: -0.34 | Avg Makespan: 97.0 | Best: 96.0 | Baseline: 121.7 | LR: 9.885823e-06
Epoch 137 | Loss: -0.16 | Avg Makespan: 92.5 | Best: 89.0 | Baseline: 121.9 | LR: 9.884156e-06
Epoch 138 | Loss: 0.59 | Avg Makespan: 92.2 | Best: 89.0 | Baseline: 121.2 | LR: 9.882478e-06
Epoch 139 | Loss: -0.31 | Avg Makespan: 101.2 | Best: 95.0 | Baseline: 121.2 | LR: 9.880788e-06
Epoch 140 | Loss: 0.45 | Avg Makespan: 95.0 | Best: 89.0 | Baseline: 120.7 | LR: 9.879086e-06
Epoch 141 | Loss: 1.01 | Avg Makespan: 95.5 | Best: 91.0 | Baseline: 120.0 | LR: 9.877372e-06
Epoch 142 | Loss: 0.62 | Avg Makespan: 89.2 | Best: 86.0 | Baseline: 119.4 | LR: 9.875646e-06
Epoch 143 | Loss: 0.07 | Avg Makespan: 92.2 | Best: 80.0 | Baseline: 119.2 | LR: 9.873908e-06
Epoch 144 | Loss: 0.34 | Avg Makespan: 87.2 | Best: 78.0 | Baseline: 118.7 | LR: 9.872158e-06
Epoch 145 | Loss: -0.04 | Avg Makespan: 94.5 | Best: 90.0 | Baseline: 118.5 | LR: 9.870397e-06
Epoch 146 | Loss: 0.28 | Avg Makespan: 91.8 | Best: 86.0 | Baseline: 118.3 | LR: 9.868623e-06
Epoch 147 | Loss: 0.55 | Avg Makespan: 89.2 | Best: 85.0 | Baseline: 117.7 | LR: 9.866838e-06
Epoch 148 | Loss: -0.10 | Avg Makespan: 91.2 | Best: 77.0 | Baseline: 117.6 | LR: 9.865040e-06
Epoch 149 | Loss: -0.50 | Avg Makespan: 94.8 | Best: 79.0 | Baseline: 117.9 | LR: 9.863231e-06
Epoch 150 | Loss: 1.00 | Avg Makespan: 82.8 | Best: 74.0 | Baseline: 117.0 | LR: 9.861410e-06
Epoch 151 | Loss: 0.19 | Avg Makespan: 81.5 | Best: 73.0 | Baseline: 116.8 | LR: 9.859577e-06
Epoch 152 | Loss: 0.41 | Avg Makespan: 88.2 | Best: 79.0 | Baseline: 116.4 | LR: 9.857732e-06
Epoch 153 | Loss: 0.39 | Avg Makespan: 84.8 | Best: 70.0 | Baseline: 115.9 | LR: 9.855876e-06
Epoch 154 | Loss: 0.16 | Avg Makespan: 85.0 | Best: 82.0 | Baseline: 115.6 | LR: 9.854007e-06
Epoch 155 | Loss: 0.25 | Avg Makespan: 84.5 | Best: 79.0 | Baseline: 115.3 | LR: 9.852127e-06
Epoch 156 | Loss: 0.19 | Avg Makespan: 87.0 | Best: 78.0 | Baseline: 115.0 | LR: 9.850234e-06
Epoch 157 | Loss: -0.30 | Avg Makespan: 96.0 | Best: 92.0 | Baseline: 115.3 | LR: 9.848330e-06
Epoch 158 | Loss: 0.33 | Avg Makespan: 95.0 | Best: 86.0 | Baseline: 114.9 | LR: 9.846414e-06
Epoch 159 | Loss: 0.31 | Avg Makespan: 84.2 | Best: 75.0 | Baseline: 114.6 | LR: 9.844487e-06
Epoch 160 | Loss: 0.82 | Avg Makespan: 88.0 | Best: 86.0 | Baseline: 113.9 | LR: 9.842547e-06
Epoch 161 | Loss: 0.18 | Avg Makespan: 87.8 | Best: 81.0 | Baseline: 113.6 | LR: 9.840596e-06
Epoch 162 | Loss: -0.69 | Avg Makespan: 90.2 | Best: 87.0 | Baseline: 114.1 | LR: 9.838632e-06
Epoch 163 | Loss: 0.80 | Avg Makespan: 82.0 | Best: 81.0 | Baseline: 113.3 | LR: 9.836657e-06
Epoch 164 | Loss: 0.00 | Avg Makespan: 85.0 | Best: 74.0 | Baseline: 113.2 | LR: 9.834671e-06
Epoch 165 | Loss: -0.18 | Avg Makespan: 84.5 | Best: 81.0 | Baseline: 113.3 | LR: 9.832672e-06
Epoch 166 | Loss: 0.57 | Avg Makespan: 89.0 | Best: 78.0 | Baseline: 112.8 | LR: 9.830661e-06
Epoch 167 | Loss: 0.15 | Avg Makespan: 80.8 | Best: 71.0 | Baseline: 112.6 | LR: 9.828639e-06
Epoch 168 | Loss: -0.08 | Avg Makespan: 87.0 | Best: 80.0 | Baseline: 112.6 | LR: 9.826605e-06
Epoch 169 | Loss: 0.52 | Avg Makespan: 85.8 | Best: 80.0 | Baseline: 112.1 | LR: 9.824559e-06
Epoch 170 | Loss: -0.38 | Avg Makespan: 90.0 | Best: 81.0 | Baseline: 112.3 | LR: 9.822502e-06
Epoch 171 | Loss: 0.72 | Avg Makespan: 85.8 | Best: 75.0 | Baseline: 111.6 | LR: 9.820432e-06
Epoch 172 | Loss: 1.13 | Avg Makespan: 81.0 | Best: 73.0 | Baseline: 110.8 | LR: 9.818351e-06
Epoch 173 | Loss: 0.15 | Avg Makespan: 88.8 | Best: 83.0 | Baseline: 110.6 | LR: 9.816258e-06
Epoch 174 | Loss: 0.16 | Avg Makespan: 86.2 | Best: 84.0 | Baseline: 110.3 | LR: 9.814153e-06
Epoch 175 | Loss: 0.35 | Avg Makespan: 77.8 | Best: 67.0 | Baseline: 110.0 | LR: 9.812037e-06
Epoch 176 | Loss: -0.14 | Avg Makespan: 88.2 | Best: 80.0 | Baseline: 110.0 | LR: 9.809909e-06
Epoch 177 | Loss: 0.45 | Avg Makespan: 85.5 | Best: 81.0 | Baseline: 109.6 | LR: 9.807769e-06
Epoch 178 | Loss: -0.09 | Avg Makespan: 86.5 | Best: 84.0 | Baseline: 109.7 | LR: 9.805617e-06
Epoch 179 | Loss: 0.42 | Avg Makespan: 81.5 | Best: 70.0 | Baseline: 109.2 | LR: 9.803454e-06
Epoch 180 | Loss: -0.32 | Avg Makespan: 83.8 | Best: 80.0 | Baseline: 109.5 | LR: 9.801279e-06
Epoch 181 | Loss: -0.08 | Avg Makespan: 81.2 | Best: 74.0 | Baseline: 109.5 | LR: 9.799092e-06
Epoch 182 | Loss: -0.02 | Avg Makespan: 89.5 | Best: 87.0 | Baseline: 109.5 | LR: 9.796893e-06
Epoch 183 | Loss: -0.26 | Avg Makespan: 86.0 | Best: 83.0 | Baseline: 109.7 | LR: 9.794683e-06
Epoch 184 | Loss: -0.14 | Avg Makespan: 88.0 | Best: 85.0 | Baseline: 109.8 | LR: 9.792461e-06
Epoch 185 | Loss: -0.53 | Avg Makespan: 90.2 | Best: 87.0 | Baseline: 110.2 | LR: 9.790227e-06
Epoch 186 | Loss: 0.33 | Avg Makespan: 80.5 | Best: 71.0 | Baseline: 109.9 | LR: 9.787982e-06
Epoch 187 | Loss: 0.77 | Avg Makespan: 80.8 | Best: 77.0 | Baseline: 109.4 | LR: 9.785725e-06
Epoch 188 | Loss: 0.46 | Avg Makespan: 82.5 | Best: 78.0 | Baseline: 109.1 | LR: 9.783456e-06
Epoch 189 | Loss: -0.34 | Avg Makespan: 89.8 | Best: 88.0 | Baseline: 109.4 | LR: 9.781175e-06
Epoch 190 | Loss: 0.04 | Avg Makespan: 81.0 | Best: 77.0 | Baseline: 109.3 | LR: 9.778883e-06
Epoch 191 | Loss: 0.00 | Avg Makespan: 81.2 | Best: 75.0 | Baseline: 109.3 | LR: 9.776579e-06
Epoch 192 | Loss: 0.43 | Avg Makespan: 86.0 | Best: 80.0 | Baseline: 108.9 | LR: 9.774264e-06
Epoch 193 | Loss: 0.95 | Avg Makespan: 80.2 | Best: 77.0 | Baseline: 108.2 | LR: 9.771937e-06
Epoch 194 | Loss: 0.01 | Avg Makespan: 90.0 | Best: 85.0 | Baseline: 108.1 | LR: 9.769598e-06
Epoch 195 | Loss: 0.03 | Avg Makespan: 83.0 | Best: 76.0 | Baseline: 108.0 | LR: 9.767248e-06
Epoch 196 | Loss: 1.08 | Avg Makespan: 76.5 | Best: 67.0 | Baseline: 107.2 | LR: 9.764886e-06
Epoch 197 | Loss: 0.79 | Avg Makespan: 80.2 | Best: 72.0 | Baseline: 106.7 | LR: 9.762512e-06
Epoch 198 | Loss: 0.50 | Avg Makespan: 86.5 | Best: 81.0 | Baseline: 106.3 | LR: 9.760127e-06
Epoch 199 | Loss: 0.25 | Avg Makespan: 80.5 | Best: 73.0 | Baseline: 106.0 | LR: 9.757730e-06
Epoch 200 | Loss: 0.52 | Avg Makespan: 80.8 | Best: 73.0 | Baseline: 105.7 | LR: 9.755321e-06
Epoch 201 | Loss: -0.29 | Avg Makespan: 84.8 | Best: 81.0 | Baseline: 105.9 | LR: 9.752901e-06
Epoch 202 | Loss: -0.26 | Avg Makespan: 84.5 | Best: 80.0 | Baseline: 106.1 | LR: 9.750469e-06
Epoch 203 | Loss: 1.08 | Avg Makespan: 79.8 | Best: 71.0 | Baseline: 105.5 | LR: 9.748026e-06
Epoch 204 | Loss: -0.09 | Avg Makespan: 86.2 | Best: 83.0 | Baseline: 105.6 | LR: 9.745571e-06
