Epoch,Total_Loss,Link_Loss,Prio_Loss
473,0.23142,0.21206,0.01936
474,0.23036,0.21088,0.01948
475,0.23212,0.21245,0.01967
476,0.23242,0.21318,0.01924
477,0.22573,0.20648,0.01925
478,0.23282,0.21349,0.01933
479,0.23103,0.21165,0.01937
480,0.23126,0.21181,0.01946
481,0.23026,0.21085,0.01941
482,0.22953,0.21031,0.01923
483,0.22926,0.20975,0.01950
484,0.23041,0.21099,0.01942
485,0.23292,0.21361,0.01931
486,0.22863,0.20932,0.01931
487,0.22471,0.20517,0.01954
488,0.22995,0.21061,0.01934
489,0.23056,0.21115,0.01941
490,0.22912,0.20980,0.01932
491,0.23139,0.21198,0.01942
492,0.23004,0.21076,0.01929
493,0.22870,0.20933,0.01937
494,0.23032,0.21107,0.01925
495,0.22728,0.20811,0.01917
496,0.22756,0.20833,0.01923
497,0.22662,0.20741,0.01921
498,0.22735,0.20825,0.01909
499,0.23055,0.21122,0.01934
500,0.23001,0.21059,0.01942
501,0.22824,0.20908,0.01916
502,0.23055,0.21103,0.01953
503,0.22890,0.20971,0.01918
504,0.22940,0.20993,0.01947
505,0.23145,0.21207,0.01938
506,0.22832,0.20902,0.01929
507,0.23120,0.21193,0.01926
508,0.22819,0.20891,0.01928
509,0.22862,0.20937,0.01925
510,0.23181,0.21254,0.01928
511,0.22915,0.20988,0.01927
512,0.23019,0.21087,0.01932
513,0.22700,0.20771,0.01929
514,0.23323,0.21387,0.01936
515,0.22787,0.20861,0.01926
516,0.22928,0.20988,0.01940
517,0.22966,0.21006,0.01960
518,0.23032,0.21104,0.01927
519,0.23104,0.21172,0.01932
520,0.23080,0.21145,0.01934
521,0.22619,0.20692,0.01927
522,0.23254,0.21313,0.01940
523,0.23264,0.21330,0.01934
524,0.22945,0.21005,0.01940
525,0.23031,0.21090,0.01941
526,0.22983,0.21045,0.01938
527,0.22639,0.20678,0.01960
528,0.22835,0.20913,0.01922
529,0.22665,0.20751,0.01914
530,0.22686,0.20768,0.01918
531,0.23049,0.21119,0.01931
532,0.22929,0.21004,0.01925
533,0.22877,0.20947,0.01930
534,0.22876,0.20941,0.01935
535,0.22843,0.20925,0.01918
536,0.22734,0.20814,0.01921
537,0.22776,0.20849,0.01927
538,0.22828,0.20908,0.01920
539,0.22708,0.20787,0.01920
540,0.22727,0.20750,0.01977
541,0.22979,0.21037,0.01942
542,0.22745,0.20824,0.01920
543,0.22692,0.20775,0.01917
544,0.23086,0.21158,0.01928
545,0.23240,0.21299,0.01941
546,0.22691,0.20777,0.01913
547,0.22582,0.20667,0.01915
548,0.22734,0.20798,0.01936
549,0.22681,0.20762,0.01919
550,0.22835,0.20916,0.01919
551,0.23050,0.21123,0.01927
552,0.22897,0.20955,0.01942
553,0.22657,0.20742,0.01915
554,0.22983,0.21047,0.01937
555,0.22889,0.20954,0.01935
