Training Log for rl_finetuned
==================================================
Epoch 154 | Loss: 0.83 | Avg Makespan: 156.8 | Best: 150.0 | Baseline: 182.0 | LR: 9.854007e-06
Epoch 155 | Loss: 1.04 | Avg Makespan: 157.2 | Best: 137.0 | Baseline: 182.4 | LR: 9.852127e-06
Epoch 156 | Loss: -0.18 | Avg Makespan: 156.8 | Best: 151.0 | Baseline: 182.1 | LR: 9.850234e-06
Epoch 157 | Loss: -0.49 | Avg Makespan: 147.2 | Best: 145.0 | Baseline: 181.7 | LR: 9.848330e-06
Epoch 158 | Loss: 0.29 | Avg Makespan: 156.8 | Best: 156.0 | Baseline: 181.8 | LR: 9.846414e-06
Epoch 159 | Loss: 1.55 | Avg Makespan: 153.8 | Best: 145.0 | Baseline: 182.3 | LR: 9.844487e-06
Epoch 160 | Loss: -0.12 | Avg Makespan: 152.5 | Best: 147.0 | Baseline: 182.2 | LR: 9.842547e-06
Epoch 161 | Loss: 0.94 | Avg Makespan: 154.8 | Best: 150.0 | Baseline: 182.5 | LR: 9.840596e-06
Epoch 162 | Loss: -0.42 | Avg Makespan: 156.8 | Best: 148.0 | Baseline: 182.2 | LR: 9.838632e-06
Epoch 163 | Loss: 1.54 | Avg Makespan: 161.2 | Best: 135.0 | Baseline: 182.6 | LR: 9.836657e-06
Epoch 164 | Loss: 0.28 | Avg Makespan: 164.0 | Best: 156.0 | Baseline: 182.6 | LR: 9.834671e-06
Epoch 165 | Loss: -0.31 | Avg Makespan: 147.8 | Best: 142.0 | Baseline: 182.3 | LR: 9.832672e-06
Epoch 166 | Loss: -0.79 | Avg Makespan: 154.8 | Best: 149.0 | Baseline: 181.9 | LR: 9.830661e-06
Epoch 167 | Loss: 1.10 | Avg Makespan: 153.8 | Best: 145.0 | Baseline: 182.3 | LR: 9.828639e-06
Epoch 168 | Loss: 0.42 | Avg Makespan: 157.0 | Best: 145.0 | Baseline: 182.3 | LR: 9.826605e-06
Epoch 169 | Loss: 0.72 | Avg Makespan: 162.0 | Best: 160.0 | Baseline: 182.5 | LR: 9.824559e-06
Epoch 170 | Loss: -0.37 | Avg Makespan: 153.2 | Best: 137.0 | Baseline: 182.3 | LR: 9.822502e-06
Epoch 171 | Loss: 1.08 | Avg Makespan: 166.0 | Best: 160.0 | Baseline: 182.6 | LR: 9.820432e-06
Epoch 172 | Loss: -0.33 | Avg Makespan: 150.0 | Best: 125.0 | Baseline: 182.3 | LR: 9.818351e-06
Epoch 173 | Loss: -0.06 | Avg Makespan: 145.5 | Best: 128.0 | Baseline: 182.2 | LR: 9.816258e-06
Epoch 174 | Loss: 2.16 | Avg Makespan: 159.8 | Best: 142.0 | Baseline: 182.9 | LR: 9.814153e-06
Epoch 175 | Loss: 1.23 | Avg Makespan: 158.5 | Best: 156.0 | Baseline: 183.3 | LR: 9.812037e-06
Epoch 176 | Loss: 0.80 | Avg Makespan: 156.2 | Best: 147.0 | Baseline: 183.5 | LR: 9.809909e-06
Epoch 177 | Loss: -0.92 | Avg Makespan: 157.5 | Best: 154.0 | Baseline: 183.1 | LR: 9.807769e-06
Epoch 178 | Loss: -1.71 | Avg Makespan: 159.5 | Best: 153.0 | Baseline: 182.5 | LR: 9.805617e-06
Epoch 179 | Loss: -0.39 | Avg Makespan: 149.0 | Best: 145.0 | Baseline: 182.2 | LR: 9.803454e-06
Epoch 180 | Loss: 0.26 | Avg Makespan: 149.0 | Best: 136.0 | Baseline: 182.2 | LR: 9.801279e-06
Epoch 181 | Loss: -0.16 | Avg Makespan: 147.5 | Best: 145.0 | Baseline: 182.2 | LR: 9.799092e-06
Epoch 182 | Loss: -0.55 | Avg Makespan: 155.5 | Best: 150.0 | Baseline: 181.9 | LR: 9.796893e-06
Epoch 183 | Loss: 0.51 | Avg Makespan: 156.5 | Best: 150.0 | Baseline: 182.0 | LR: 9.794683e-06
Epoch 184 | Loss: 0.96 | Avg Makespan: 158.2 | Best: 152.0 | Baseline: 182.3 | LR: 9.792461e-06
Epoch 185 | Loss: 1.45 | Avg Makespan: 155.2 | Best: 142.0 | Baseline: 182.8 | LR: 9.790227e-06
Epoch 186 | Loss: 0.72 | Avg Makespan: 153.8 | Best: 143.0 | Baseline: 183.1 | LR: 9.787982e-06
Epoch 187 | Loss: 0.22 | Avg Makespan: 155.2 | Best: 148.0 | Baseline: 183.1 | LR: 9.785725e-06
Epoch 188 | Loss: 0.63 | Avg Makespan: 154.2 | Best: 142.0 | Baseline: 183.4 | LR: 9.783456e-06
Epoch 189 | Loss: -1.06 | Avg Makespan: 155.2 | Best: 151.0 | Baseline: 183.0 | LR: 9.781175e-06
Epoch 190 | Loss: -0.90 | Avg Makespan: 152.8 | Best: 149.0 | Baseline: 182.7 | LR: 9.778883e-06
Epoch 191 | Loss: 0.54 | Avg Makespan: 155.5 | Best: 143.0 | Baseline: 182.8 | LR: 9.776579e-06
Epoch 192 | Loss: -0.63 | Avg Makespan: 146.8 | Best: 137.0 | Baseline: 182.5 | LR: 9.774264e-06
Epoch 193 | Loss: -1.81 | Avg Makespan: 151.2 | Best: 144.0 | Baseline: 181.8 | LR: 9.771937e-06
Epoch 194 | Loss: -0.32 | Avg Makespan: 139.2 | Best: 113.0 | Baseline: 181.5 | LR: 9.769598e-06
Epoch 195 | Loss: -1.83 | Avg Makespan: 144.8 | Best: 139.0 | Baseline: 180.8 | LR: 9.767248e-06
Epoch 196 | Loss: -0.89 | Avg Makespan: 138.2 | Best: 133.0 | Baseline: 180.5 | LR: 9.764886e-06
Epoch 197 | Loss: -0.67 | Avg Makespan: 149.5 | Best: 137.0 | Baseline: 180.3 | LR: 9.762512e-06
Epoch 198 | Loss: 0.27 | Avg Makespan: 144.2 | Best: 122.0 | Baseline: 180.4 | LR: 9.760127e-06
Epoch 199 | Loss: -1.51 | Avg Makespan: 140.2 | Best: 128.0 | Baseline: 179.7 | LR: 9.757730e-06
Epoch 200 | Loss: -0.07 | Avg Makespan: 154.0 | Best: 145.0 | Baseline: 179.7 | LR: 9.755321e-06
Epoch 201 | Loss: -0.52 | Avg Makespan: 149.8 | Best: 145.0 | Baseline: 179.6 | LR: 9.752901e-06
Epoch 202 | Loss: -1.04 | Avg Makespan: 143.0 | Best: 140.0 | Baseline: 179.1 | LR: 9.750469e-06
Epoch 203 | Loss: -0.11 | Avg Makespan: 149.8 | Best: 144.0 | Baseline: 179.1 | LR: 9.748026e-06
Epoch 204 | Loss: -0.10 | Avg Makespan: 150.0 | Best: 143.0 | Baseline: 179.1 | LR: 9.745571e-06
Epoch 205 | Loss: 0.78 | Avg Makespan: 163.5 | Best: 159.0 | Baseline: 179.4 | LR: 9.743104e-06
Epoch 206 | Loss: 0.96 | Avg Makespan: 155.8 | Best: 149.0 | Baseline: 179.7 | LR: 9.740626e-06
Epoch 207 | Loss: 0.18 | Avg Makespan: 146.8 | Best: 145.0 | Baseline: 179.8 | LR: 9.738137e-06
Epoch 208 | Loss: 0.78 | Avg Makespan: 161.0 | Best: 156.0 | Baseline: 180.1 | LR: 9.735635e-06
Epoch 209 | Loss: 0.22 | Avg Makespan: 139.0 | Best: 118.0 | Baseline: 179.9 | LR: 9.733123e-06
