Epoch,Total_Loss,Link_Loss,Prio_Loss
594,0.35886,0.33765,0.02121
595,0.36456,0.34337,0.02119
596,0.36310,0.34178,0.02132
597,0.36852,0.34702,0.02149
598,0.35826,0.33687,0.02139
599,0.36698,0.34575,0.02122
600,0.36326,0.34206,0.02121
601,0.35852,0.33720,0.02132
602,0.35694,0.33573,0.02121
603,0.36756,0.34632,0.02124
604,0.35732,0.33594,0.02138
605,0.35642,0.33502,0.02140
606,0.35268,0.33135,0.02133
607,0.35116,0.32980,0.02137
608,0.35851,0.33733,0.02118
609,0.35829,0.33686,0.02143
610,0.35047,0.32913,0.02134
611,0.35428,0.33300,0.02128
612,0.35745,0.33610,0.02135
613,0.34977,0.32837,0.02141
614,0.35495,0.33358,0.02137
615,0.35539,0.33413,0.02126
616,0.35264,0.33132,0.02132
617,0.34332,0.32211,0.02121
618,0.34667,0.32540,0.02127
619,0.35060,0.32909,0.02151
620,0.34278,0.32158,0.02121
621,0.34246,0.32126,0.02119
622,0.34671,0.32543,0.02128
623,0.34869,0.32731,0.02139
624,0.34271,0.32144,0.02128
625,0.33946,0.31804,0.02143
626,0.33773,0.31614,0.02159
627,0.33844,0.31708,0.02136
628,0.34474,0.32326,0.02148
629,0.33643,0.31515,0.02128
630,0.32776,0.30652,0.02124
631,0.33505,0.31376,0.02130
632,0.34744,0.32604,0.02140
633,0.33660,0.31515,0.02146
634,0.34386,0.32250,0.02137
635,0.33681,0.31561,0.02120
636,0.33453,0.31314,0.02139
637,0.33512,0.31358,0.02154
638,0.33741,0.31596,0.02145
639,0.33663,0.31533,0.02131
640,0.33177,0.31057,0.02120
641,0.33468,0.31335,0.02133
642,0.32659,0.30533,0.02126
643,0.33238,0.31104,0.02134
644,0.32732,0.30608,0.02124
645,0.32922,0.30782,0.02140
646,0.32100,0.29954,0.02146
647,0.32975,0.30836,0.02139
648,0.32467,0.30327,0.02140
649,0.32446,0.30318,0.02128
650,0.32310,0.30188,0.02122
651,0.32204,0.30069,0.02134
652,0.32067,0.29926,0.02141
653,0.32004,0.29891,0.02113
654,0.32197,0.30059,0.02139
655,0.32607,0.30467,0.02140
656,0.32368,0.30239,0.02129
657,0.32093,0.29970,0.02123
658,0.32097,0.29953,0.02144
659,0.31215,0.29089,0.02126
660,0.32215,0.30084,0.02132
661,0.31563,0.29434,0.02129
662,0.31394,0.29253,0.02142
663,0.30809,0.28662,0.02147
664,0.31080,0.28931,0.02149
665,0.31003,0.28877,0.02126
666,0.30939,0.28813,0.02127
667,0.31607,0.29478,0.02129
668,0.30442,0.28300,0.02142
669,0.30389,0.28255,0.02134
670,0.30540,0.28418,0.02123
671,0.30405,0.28261,0.02144
672,0.30642,0.28510,0.02131
673,0.30814,0.28665,0.02149
674,0.30399,0.28261,0.02138
675,0.30450,0.28314,0.02136
676,0.30374,0.28247,0.02127
677,0.30278,0.28149,0.02129
678,0.30158,0.28017,0.02142
679,0.30399,0.28267,0.02132
680,0.29954,0.27813,0.02141
681,0.29170,0.27031,0.02139
682,0.29426,0.27289,0.02137
683,0.30571,0.28429,0.02143
684,0.29790,0.27648,0.02142
685,0.29763,0.27645,0.02118
686,0.29476,0.27352,0.02125
687,0.29047,0.26871,0.02176
688,0.29592,0.27464,0.02127
689,0.29385,0.27248,0.02137
690,0.29140,0.27009,0.02131
691,0.29404,0.27260,0.02144
692,0.28521,0.26406,0.02115
693,0.29018,0.26894,0.02124
694,0.28482,0.26357,0.02125
695,0.28701,0.26571,0.02131
696,0.28376,0.26233,0.02143
697,0.28069,0.25923,0.02146
698,0.28272,0.26132,0.02141
699,0.28989,0.26868,0.02121
700,0.28632,0.26498,0.02134
701,0.28073,0.25949,0.02124
702,0.28240,0.26118,0.02122
703,0.27514,0.25379,0.02134
704,0.28265,0.26122,0.02142
705,0.27678,0.25549,0.02129
706,0.27935,0.25805,0.02130
707,0.27478,0.25325,0.02153
708,0.27780,0.25642,0.02138
709,0.27337,0.25197,0.02141
710,0.27219,0.25084,0.02134
711,0.27638,0.25504,0.02134
712,0.26899,0.24767,0.02132
713,0.27295,0.25166,0.02128
714,0.27620,0.25496,0.02123
715,0.27195,0.25049,0.02146
716,0.27178,0.25034,0.02144
717,0.27159,0.25036,0.02123
718,0.27169,0.25028,0.02141
719,0.26930,0.24791,0.02139
720,0.26278,0.24141,0.02136
721,0.26599,0.24450,0.02148
722,0.26385,0.24250,0.02135
723,0.26550,0.24390,0.02161
724,0.26775,0.24645,0.02130
725,0.26775,0.24648,0.02127
726,0.27260,0.25141,0.02119
727,0.26752,0.24610,0.02142
728,0.25789,0.23656,0.02134
729,0.25431,0.23292,0.02139
730,0.25974,0.23847,0.02128
731,0.25841,0.23699,0.02141
732,0.25918,0.23796,0.02122
733,0.25587,0.23424,0.02163
734,0.26304,0.24180,0.02124
735,0.25968,0.23836,0.02132
736,0.25289,0.23164,0.02124
737,0.25148,0.22998,0.02150
738,0.25670,0.23552,0.02119
739,0.25952,0.23822,0.02130
740,0.25327,0.23173,0.02154
741,0.25406,0.23281,0.02125
742,0.25242,0.23119,0.02124
743,0.25294,0.23158,0.02136
744,0.25129,0.22992,0.02138
745,0.25052,0.22917,0.02135
746,0.24971,0.22842,0.02128
747,0.25245,0.23113,0.02132
748,0.24609,0.22474,0.02135
749,0.24357,0.22225,0.02132
750,0.24813,0.22681,0.02132
751,0.24713,0.22571,0.02141
752,0.24674,0.22556,0.02118
753,0.24193,0.22033,0.02160
754,0.24391,0.22254,0.02137
755,0.24747,0.22611,0.02136
756,0.24455,0.22328,0.02126
757,0.23732,0.21599,0.02133
758,0.24154,0.22003,0.02151
759,0.23733,0.21608,0.02125
